numCommune;nomCommune
13001;Aix-en-Provence
2A004;Ajaccio
80021;Amiens
49007;Angers
74010;Annecy
6004;Antibes
92002;Antony
95018;Argenteuil
13004;Arles
92004;Asni�res-sur-Seine
93001;Aubervilliers
93005;Aulnay-sous-Bois
84007;Avignon
60057;Beauvais
90010;Belfort
25056;Besan�on
34032;B�ziers
93008;Bobigny
93010;Bondy
33063;Bordeaux
92012;Boulogne-Billancourt
18033;Bourges
29019;Brest
19031;Brive-la-Gaillarde
14118;Caen
62193;Calais
6029;Cannes
95127;Cergy
51108;Ch�lons-en-Champagne
71076;Chalon-sur-Sa�ne
73065;Chamb�ry
94017;Champigny-sur-Marne
8105;Charleville-M�zi�res
36044;Ch�teauroux
77108;Chelles
50129;Cherbourg-en-Cotentin
49099;Cholet
92023;Clamart
63113;Clermont-Ferrand
92024;Clichy
68066;Colmar
92025;Colombes
91174;Corbeil-Essonnes
92026;Courbevoie
94028;Cr�teil
21231;Dijon
93029;Drancy
59183;Dunkerque
93031;Epinay-sur-Seine
27229;Evreux
91228;Evry
94033;Fontenay-sous-Bois
83061;Fr�jus
92036;Gennevilliers
6069;Grasse
38185;Grenoble
83069;Hy�res
92040;Issy-les-Moulineaux
94041;Ivry-sur-Seine
17300;LaRochelle
85191;LaRoche-sur-Yon
83126;LaSeyne-sur-Mer
53130;Laval
93007;LeBlanc-Mesnil
76351;LeHavre
72181;LeMans
92044;Levallois-Perret
59350;Lille
87085;Limoges
56121;Lorient
69123;Lyon
94046;Maisons-Alfort
13055;Marseille
77284;Meaux
33281;M�rignac
57463;Metz
92048;Meudon
82121;Montauban
3185;Montlu�on
34172;Montpellier
93048;Montreuil
68224;Mulhouse
54395;Nancy
92050;Nanterre
44109;Nantes
11262;Narbonne
92051;Neuilly-sur-Seine
6088;Nice
30189;N�mes
79191;Niort
93051;Noisy-le-Grand
45234;Orl�ans
93055;Pantin
64445;Pau
66136;Perpignan
33318;Pessac
86194;Poitiers
29232;Quimper
51454;Reims
35238;Rennes
42187;Roanne
59512;Roubaix
76540;Rouen
92063;Rueil-Malmaison
22278;Saint-Brieuc
93066;Saint-Denis
42218;Saint-Etienne
35288;Saint-Malo
94068;Saint-Maur-des-Foss�s
44184;Saint-Nazaire
93070;Saint-Ouen
2691;Saint-Quentin
95585;Sarcelles
78586;Sartrouville
93071;Sevran
67482;Strasbourg
65440;Tarbes
83137;Toulon
31555;Toulouse
59599;Tourcoing
37261;Tours
10387;Troyes
26362;Valence
56260;Vannes
69259;V�nissieux
78646;Versailles
94076;Villejuif
59009;'Villeneuve-d''Ascq'
69266;Villeurbanne
94080;Vincennes
94081;Vitry-sur-Seine
